Ticker,Valoración de medias móviles,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)"
TSLA,Fuerte Compra,41553.281,34508.79685,30441.22194,17110.256722,40797.81373762,28219.77996238,2443.34783704,1746.87027808
AMZN,Fuerte Compra,72363.492,69727.6802,66769.28648,48793.770125,73828.37868256,65626.98171744,1376.26768392,1380.22703038
MELI/N,Fuerte Compra,26890,25346.65,22901.12496,15295.3475455,28478.89975217,22214.40024783,1117.55141823,1160.37489183
AAPL,Fuerte Compra,10276.46,9514.96037,8796.122362,6729.782342,11107.12849741,7922.79224259,466.30528498,445.64401009
NVDA,Fuerte Compra,10762.1,9886.293505,9214.749986,6467.773492,11035.35454762,8737.23246238,434.10615875,364.2251405
MDB,Comprar,4712,4730.64852,,,5251.0743884,4210.2226516,361.70741006,515.38347445
OR/N,Fuerte Compra,7423.3999,6950.15952,6399.036218,5103.0738525,7894.93699585,6005.38204415,315.62113301,295.88020541
FDX,Fuerte Compra,4620,4093.813985,3636.004392,3067.9949475,4859.5578941,3328.0700759,296.51386035,252.92695176
LOW,Fuerte Compra,3480,3039.3515,2526.9506,2025.6749955,3646.81120876,2431.89179124,295.61286951,259.086009
LULU,Fuerte Compra,7962.6001,7268.07954,6922.620018,4832.0155525,7926.19312263,6609.96595737,284.04301318,218.49133733
UPS,Fuerte Compra,3532,3236.947005,2789.535406,2287.3388525,3952.72100754,2521.17300246,250.6169155,245.39309738
SHOP/N,Comprar,22484,22656.52705,21626.12384,13082.7662645,24960.00975193,20353.04434807,226.17727313,420.94530213
BBY,Fuerte Compra,2344,2037.1625,1718.8666,1443.5266996,2488.30523891,1586.01976109,189.70661938,161.54501645
DHR,Fuerte Compra,4668.0601,4427.141475,4097.431994,2834.626203,4824.85130969,4029.43164031,185.16232094,183.58917242
SQ,Fuerte Compra,3339,3074.772515,2699.777204,1704.62415155,3526.75456286,2622.79046714,175.06132441,175.69274719
ZS,Fuerte Compra,2905.5,2740.310505,2150.4275956,,2990.67824617,2489.94276383,174.72573246,221.81877085
SE/N,Fuerte Compra,3233.97,2797.592015,,,3310.77691176,2284.40711824,168.26610948,178.80308734
ETSY,Fuerte Compra,2903,2717.829505,2356.192402,,3260.75461745,2174.90439255,162.75263425,170.9015822
MA,Fuerte Compra,7361,7130.22152,6902.767802,6219.08595,7620.48062825,6639.96241175,149.68127196,139.69570405
GOOG,Fuerte Compra,34424.41,33578.1765,33287.34702,29192.028875,34383.42194485,32772.93105515,147.84066441,85.76268137
HD,Fuerte Compra,6228,6090.388035,5814.067422,4913.5410065,6408.6248424,5772.1512276,144.82534184,136.64345644
FB,Fuerte Compra,5805,5592.800005,5436.069232,4475.409812,6205.36247116,4980.23753884,130.17613713,125.99053877
GOOGL,Fuerte Compra,34388.352,33593.2516,33373.95804,29226.5495,34392.32565292,32794.17754708,129.08968794,72.11505917
AMD,Fuerte Compra,1792.3199,1742.799995,1431.06759,1110.2878504,2052.75657051,1432.84341949,117.2719711,135.16137091
BRKB,Fuerte Compra,4586.5,4526.3055,4277.502188,4259.240247,4867.64424599,4184.96675401,109.69075929,120.45300813
TGT,Fuerte Compra,3415,2898.442,2779.826794,2318.7443475,3228.16798991,2568.71601009,108.77511647,70.81611001
QCOM,Fuerte Compra,2452.02,2353.457,2165.502804,1817.642251,2750.23173918,1956.68226082,108.31259815,111.27338824
UNH,Fuerte Compra,7014.5,6928.17751,6773.171414,6027.0680055,7328.89070096,6527.46431904,97.41752257,93.39521451
BMRN,Fuerte Venta,1705.53,2598.48701,,,3151.67417264,2045.29984736,97.00074953,215.02302346
PYPL,Comprar,4280,4250.995975,4020.696798,2829.9050005,4672.55367847,3829.43827153,94.72996056,118.24948074
MCD,Fuerte Compra,4620,4492.380485,4336.089596,4069.785049,4742.09465555,4242.66631445,91.43334423,82.19828738
COST,Fuerte Compra,7522,7444.218505,7177.231816,6534.733803,7785.11062177,7103.32638823,89.44952493,106.25465717
DOCU,Fuerte Compra,4660,4609.251985,4257.95378,,5119.91740171,4098.58656829,84.83092294,130.07539048
ADBE,Fuerte Compra,10157,9870.612995,9795.65422,7570.013808,10361.55665224,9379.66933776,83.518241,79.42318554
DPZ,Fuerte Compra,9155,8719.70005,8616.283398,,9168.93915461,8270.46094539,81.63947004,30.17263318
TSM/N,Fuerte Compra,1771.9,1755.5505,1516.2908,1181.63535065,1890.98648244,1620.11451756,70.77382884,87.1489849
BABA/N,Fuerte Compra,5771.1201,5677.00996,5436.183764,4560.380041,5962.8646045,5391.1553155,69.5427706,87.17915323
DIS,Fuerte Compra,2830.26,2756.38899,2667.255796,2618.3876445,3060.6909636,2452.0870164,67.43617422,64.7910691
PG,Fuerte Compra,3035,2937.0995,2805.586202,2568.87115,3120.85143174,2753.34756826,67.41685972,65.7268923
ZM,Fuerte Compra,6059.7998,5702.368495,5706.574792,,6259.63749456,5145.09949544,62.8174587,36.06211811
XLNX,Comprar,2287.0801,2332.561995,2153.57019,2086.0197445,2460.01789653,2205.10609347,58.44266049,77.65111457
PINS,Fuerte Compra,780,712.9025,610.9071998,,937.97369424,487.83130576,58.12398001,59.35180382
BZUN/N,Fuerte Compra,955,882.819998,756.238397,,1053.98167742,711.65831858,55.21613597,54.93847236
NDAQ,Neutral,2881.0601,2922.930515,2760.217812,,3008.64338054,2837.21764946,51.38758982,69.78078971
RCL,Fuerte Compra,1351.5699,1195.034495,1188.72279,1516.10155045,1397.426406,992.642584,50.76507937,29.54120877
LMT,Fuerte Compra,8613.75,8579.77442,8487.917968,7725.4073435,8833.5783462,8325.9704938,49.52275539,41.29595535
NKE,Fuerte Compra,2410.01,2261.633505,2230.941992,2010.247397,2442.31142893,2080.95558107,47.57254817,33.74660414
CRM,Fuerte Compra,4557,4377.985995,4305.5114,3679.021802,4675.92383352,4080.04815648,45.22569498,42.08021849
TWLO,Comprar,5580,5750.30102,5306.94241,3165.012155,6406.28948619,5094.31255381,44.29127787,121.91975277
MMM,Fuerte Compra,3642,3542.27201,3535.846604,3341.9696025,3785.68213099,3298.86188901,44.11440159,26.60794999
CAT,Comprar,3083.3501,3065.57748,2966.41979,2714.4405005,3209.26488748,2921.89007252,42.62869116,45.90507039
EA,Comprar,3151,3181.80153,3018.711022,2391.270405,3320.1579662,3043.4450938,39.65905202,57.85088983
SNE/N,Fuerte Compra,1800,1782.439,1684.456796,1284.57164895,1909.23010062,1655.64789938,36.07007753,44.4707235
JD/N,Fuerte Compra,1606,1421.363,1399.245998,987.6181494,1561.07428789,1281.65171211,34.36966823,17.72447509
PTON,Vender,1465,1481.85351,1363.219196,,1637.20852701,1326.49849299,33.3191173,45.7038244
FRES,Comprar,383,386.085,288.2325994,247.4078502,436.08218052,336.08781948,31.80090283,39.2077475
ANB,Fuerte Compra,1280.88,1246.606,1162.292998,1390.87629615,1303.74041184,1189.47158816,30.90489528,32.24217619
MRK,Fuerte Compra,1886,1813.289495,1778.154198,1731.2049495,1916.32675997,1710.25223003,28.00377977,20.43422399
CL,Fuerte Compra,1749.99,1689.6905,1658.876404,1392.8114965,1757.48646049,1621.89453951,27.12311596,23.04222455
BMWM5/N,Neutral,1479.52,1506.773,1411.541802,1636.3143515,1575.71759953,1437.82840047,27.0908412,34.07168963
PE_OLES,Fuerte Compra,364.59,355.6825,281.3817996,217.1856493,403.29585439,308.06914561,26.5398394,30.4721699
MGM,Fuerte Compra,462.01001,410.3580005,397.4270002,458.15759975,523.39119158,297.32480942,26.38579413,19.69305489
