Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
AMX/L,Fuerte Venta,30223222,13.2,13.7,14.1576,14.81359999,14.54377722,12.85622278,-0.30850628,-0.27192645,37.26264941
WALMEX,Fuerte Venta,26325003,51.040001,54.8,55.08040006,55.74719992,59.63001863,49.96998137,-1.17894163,-0.68650012,29.36619928
HOMEX,Fuerte Venta,21897186,0.044,0.04595,0.04734,0.05832,0.04835624,0.04354376,-0.00101311,-0.00087076,34.94716826
CEMEX/CPO,Vender,21542116,6.92,7.3365,6.9192,6.3668,7.99529511,6.67770489,-0.04344175,0.06322262,43.80378949
GMEXICO/B,Comprar,14235243,58.540001,59.049,57.88300016,52.01240023,60.76556492,57.33243508,0.24327492,0.4450029,49.61332036
FUNO/11,Fuerte Venta,9832375,16.59,17.5294998,17.74899998,22.96644995,19.08337852,15.97562108,-0.40838557,-0.30226948,37.35690431
ALFA/A,Comprar,5870730,14.27,14.382,13.311,12.72640001,14.81483253,13.94916747,0.22505428,0.31777993,52.91281458
BOLSA/A,Fuerte Compra,3794789,46.860001,46.24599985,45.75439996,42.70024996,47.59805659,44.89394311,-0.03447092,0.0546261,53.54418839
GFNORTE/O,Fuerte Venta,3407144,74.150002,78.54199985,79.28139996,87.48079998,85.57787763,71.50612207,-1.61469433,-1.07336858,37.47883013
FIBRAMQ/12,Fuerte Venta,3119254,24.129999,25.3860002,25.06740006,24.12400002,26.19082109,24.58117931,-0.08106203,0.09018271,34.84857725
IENOVA,Fuerte Venta,2556094,60.25,64.58950035,64.92520036,74.07315018,69.76322082,59.41577988,-1.30444842,-0.67828036,36.38210677
BIMBO/A,Neutral,2187922,40.959999,42.14300005,40.34739978,35.65540009,45.08915184,39.19684826,-0.05307616,0.31316919,48.69247999
BSMX/B,Fuerte Venta,2140858,12.66,14.3365,14.94200002,19.2522,16.42320338,12.24979662,-0.64352174,-0.46383129,27.20440754
TLEVISA/CPO,Comprar,1961723,28,28.2464998,26.60959994,32.13515003,30.39366768,26.09933192,0.22913073,0.29442194,51.54924128
ORBIA,Fuerte Compra,1865318,36.759998,36.7655001,35.6446002,36.38604999,38.51329268,35.01770752,0.02489808,0.1539961,52.95606434
BBAJIO/O,Fuerte Venta,1848536,15.03,17.0985,17.6630001,23.55825005,19.09397781,15.10302219,-0.66044968,-0.47069845,28.77698412
KIMBER/A,Fuerte Venta,1689792,35.5,36.4925,35.75600014,36.37070008,38.32873364,34.65626636,-0.16917733,0.05484161,46.32858795
FIBRAHD/15,Fuerte Venta,1604126,4.61,4.8005,4.8436,6.22940001,4.98666928,4.61433072,-0.05543661,-0.03332392,36.6272341
GENTERA,Fuerte Venta,1592014,6.77,7.347,8.24240002,13.30135001,7.94939854,6.74460146,-0.35176042,-0.36377212,28.6465185
ARA,Fuerte Venta,1531378,2.69,2.8325,2.7712,3.27795,3.07489431,2.59010569,-0.02255691,0.00282357,43.56935514
LAB/B,Fuerte Venta,1514102,20.92,22.716,22.84159998,20.36149999,24.48624751,20.94575249,-0.46169108,-0.17528143,30.93594155
FEMSA/UBD,Fuerte Venta,1382192,120.87,127.7555005,131.5312004,153.76895045,135.92835963,119.58264137,-3.15510625,-2.56528131,27.09166661
CUERVO,Fuerte Venta,1351079,40.830002,41.81,42.52159992,36.92805006,43.77980191,39.84019809,-0.29572207,-0.25476371,41.98437434
Q,Fuerte Venta,1326202,82.760002,87.25600025,89.66180022,85.34450028,92.29341349,82.21858701,-1.80472296,-1.40856346,37.4794792
GAP/B,Fuerte Venta,1275351,162.39,169.2845,158.957001,178.81815015,178.43958254,160.12941746,1.20647917,2.46313388,47.12034174
AEROMEX,Fuerte Venta,1252962,4.55,5.2125,4.9836,9.649,6.13588237,4.28911763,-0.16913234,-0.09561077,31.42150415
AZTECA/CPO,Fuerte Venta,1206296,0.319,0.33395,0.33922,0.507635,0.34957658,0.31832342,-0.00522653,-0.00311732,34.45023597
ALSEA,Comprar,1196819,21.860001,21.912,21.78640002,30.66009994,23.15263866,20.67136134,-0.03308844,0.04542451,50.69883823
GFINBUR/O,Fuerte Venta,1142953,15.4,16.6460001,16.1766,18.67490004,18.05828058,15.23371962,-0.20687034,-0.0162833,37.53925282
VESTA,Fuerte Venta,1119500,32.470001,32.7334997,33.07099992,32.38514993,33.16797767,32.29902173,-0.14555829,-0.12216449,44.11199031
MEGA/CPO,Fuerte Venta,1007836,65.970001,66.93199925,68.10799954,68.46744996,70.69334093,63.17065757,-0.78312383,-0.65848344,47.4613749
HCITY,Fuerte Venta,1004558,5.35,5.7695,6.2032,9.39855001,6.26043686,5.27856314,-0.19399114,-0.1881745,35.28965007
OMA/B,Fuerte Venta,976331,99.82,101.43449975,99.32319988,111.48070011,106.77269277,96.09630673,0.38596622,0.49163037,49.04612531
GMXT,Fuerte Compra,920692,28.889999,28.63949985,26.99599978,25.51659987,29.44645615,27.83254355,0.5198307,0.63436879,56.95529281
GRUMA/B,Vender,918493,253.99001,266.0294975,256.4899986,220.26504945,281.77755623,250.28143877,-1.05116781,1.61150951,43.09851528
R/A,Fuerte Venta,907757,49.59,54.88199955,57.1529998,78.08249988,58.91994251,50.84405659,-1.66853889,-1.31767963,29.59724947
SITES/B-1,Fuerte Compra,727950,18.290001,17.32350015,16.78600004,15.05385001,18.641245,16.0057553,0.15082829,0.09913766,63.26618693
DANHOS/13,Fuerte Venta,690080,18.870001,20.91749995,21.24740002,23.52535004,22.78445281,19.05054709,-0.48415575,-0.29593838,31.22965472
AC,Fuerte Venta,624575,96.330002,102.86300025,103.39560024,102.07580019,111.59682833,94.12917217,-2.28502667,-1.2441991,30.77328884
NEMAK/A,Fuerte Compra,598126,6.99,6.436,5.7316,5.9413,7.24191315,5.63008685,0.36058718,0.33176358,67.96184133
AGUA,Fuerte Compra,589596,16.389999,16.04800025,15.2404001,14.81096812,16.43325866,15.66274184,0.22144399,0.27609551,59.31702725
TERRA/13,Fuerte Venta,569957,27.15,28.02500005,27.73179998,28.07024999,28.76991651,27.28008359,-0.12513637,0.02073262,37.13614905
GCARSO/A1,Fuerte Venta,527063,42.68,44.86799965,44.4551998,54.82799986,48.18888836,41.54711094,-0.60376362,-0.32491836,41.44119771
GCC,Vender,525024,101.5,102.71349985,101.55479986,91.3961997,106.29405495,99.13294475,-0.02862617,0.27597336,48.13151581
VOLAR/A,Comprar,502036,17.15,17.0760002,14.19000008,15.48264999,19.28358201,14.86841839,1.03172044,1.20784326,56.92447625
PINFRA,Fuerte Venta,454787,158.05,167.090501,164.6320004,176.13590025,177.32810423,156.85289777,-1.25934392,-0.04982141,41.67921433
AXTEL/CPO,Fuerte Compra,437769,7.01,6.8615,5.9192,3.95135,7.24209296,6.48090704,0.29922427,0.35804641,65.51082555
CHDRAUI/B,Fuerte Venta,419498,24.379999,26.19349975,26.24199994,26.41039995,28.554646,23.8323535,-0.55231546,-0.27974373,34.23002923
KOF/UBL,Fuerte Venta,357188,86.349998,93.28249995,93.98200022,103.14190007,100.31662864,86.24837126,-1.98456816,-1.07868709,29.66468819
PE_OLES,Comprar,350857,362.57001,362.915999,323.197799,226.68994915,382.70868516,343.12331284,9.88941518,13.01635761,53.70507917
GM,Fuerte Compra,341113,686.14001,652.0089965,610.209199,607.07470035,695.70126688,608.31672612,17.90838372,15.77506364,59.23401526
LIVEPOL/C-1,Fuerte Venta,280722,55.959999,56.71700025,55.86280014,72.35124998,58.94972207,54.48427843,-0.0215321,0.20153531,48.36593119
FIHO/12,Fuerte Venta,267418,4.39,4.5415,4.4252,6.06060001,4.7068209,4.3761791,0.01525961,0.04358806,41.70198816
HOTEL,Vender,253928,4.01,4.0165,3.9922,4.88085,4.08321582,3.94978418,0.00174913,0.00120736,50.13339167
ASUR/B,Fuerte Venta,253332,240.28999,248.5244985,239.1127998,283.9275511,260.01804002,237.03095698,1.11210682,2.28283075,47.1677001
FIBRAPL/14,Vender,236627,42.799999,44.0174994,43.26519992,40.96051015,45.20165913,42.83333967,0.00017064,0.1632583,42.52506238
ICH/B,Fuerte Venta,233224,79.580002,82.4510007,84.72760002,86.87914982,85.7029966,79.1990048,-1.18841725,-1.04552774,31.32369547
UNIFIN/A,Vender,230538,18.5,18.63299995,18.28398394,21.76878025,19.31955913,17.94644077,0.09155777,0.1277687,50.55262385
