Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
GSX/N,,100,2439.8899,,,,,,,,
SHAK,Fuerte Compra,10,1576.0601,1463.801505,1287.7288,,1573.73507977,1353.86793023,54.74445733,60.49449174,61.6107996
JWN,Neutral,1139129,286.09,278.083501,310.6013986,,300.96603277,255.20096923,-9.79703234,-10.87207666,49.33276769
EXPE,Fuerte Compra,3011,2113,2049.0795,1995.578802,,2206.12875361,1892.03024639,-6.19586654,4.43006621,56.92759724
HTZ,Comprar,163704,36.5,28.54400015,30.00480002,118.81415,45.52642531,11.56157499,2.48616411,0.75779505,56.69595086
VIVEN/N,Fuerte Compra,300,633.75,607.423001,542.7448006,,694.02608668,520.81991532,19.18657369,22.126861,54.13668489
LVS,Comprar,8593,1045,994.3404995,1047.2031998,1105.72755,1065.47513441,923.20586459,-18.32550111,-24.52505853,58.1627844
M,Comprar,31905,146.41,132.0905005,142.6655996,198.1877995,141.10140652,123.07959448,-1.37200431,-3.40530856,60.41295531
INO,Fuerte Venta,848,238,261.336501,273.6335996,,321.04916814,201.62383386,-15.72294105,-13.12840931,41.76889287
CNK,Vender,107,193,193.3995,249.0294002,,232.47638446,154.32261554,-19.63301082,-23.09937277,42.56930006
GME,Fuerte Compra,1468,310.01999,250.0760015,184.96900082,,327.79398109,172.35802191,33.56349889,30.14793796,67.84126976
DAL,Fuerte Compra,7401,706,681.848999,670.5089988,720.6082018,707.00245452,656.69554348,2.70735507,3.11389952,58.34910138
HLT,Fuerte Compra,1502,1978,1901.6785,1892.979396,1718.0222495,1971.53223985,1831.82476015,4.71050494,3.43223619,59.7087204
MGM,Fuerte Compra,11731,475,465.1345005,477.0319998,436.4815496,498.17945596,432.08954504,-4.74992376,-5.19625484,54.12923783
LUV,Fuerte Compra,5749,886,839.819504,826.6874026,842.8535011,867.64965749,811.98935051,8.21904283,5.499679,63.85897117
CLF,Fuerte Compra,858,175,151.823501,140.9554002,136.30910011,182.32919418,121.31780782,8.90070383,7.25072349,71.01405155
DDD,Fuerte Compra,83,157,130.1105,126.4964006,160.8668005,167.02000239,93.20099761,8.52603864,5.5561282,76.44087685
T,Fuerte Venta,4170,595,604.4645005,625.8224016,682.9193002,649.79521794,559.13378306,-14.80351348,-13.06403541,45.18308279
